元器件名称,类型,编码,所在页,所在行,描述,规格,数量,来源
A1251连接器,连接器,A1251,1,8,,,,text
S100001连接器,连接器,S100001,1,8,,,,text
A1181连接器,连接器,A1181,4,4,,,,text
一汽解放J6L整车主线束,线束,CA1251P62K1L7T3E5,1,8,新款J6L车型整车电气线束总成,,,text
发动机控制线束,线束,CA1234E6_Z00231_01,2,4,发动机相关传感器和执行器线束,,,text
发动机控制线束,线束,CA1234E6,2,4,发动机相关传感器和执行器线束,,,text
驾驶室电气线束,线束,CA1181P62K1L4A10E6_Q00070_04,4,4,驾驶室内开关、仪表、控制面板线束,,,text
驾驶室电气线束,线束,CA1181P62K1L4A10E6,4,4,驾驶室内开关、仪表、控制面板线束,,,text
AdBlue,系统,KW_AdBlue_1_1,1,1,柴油机尾气处理液系统，用于减少氮氧化物排放,,,text
AdBlue,系统,KW_AdBlue_1_3,1,3,柴油机尾气处理液系统，用于减少氮氧化物排放,,,text
AdBlue,系统,KW_AdBlue_1_4,1,4,柴油机尾气处理液系统，用于减少氮氧化物排放,,,text
新款J6L整车主线束,其他,CA1251P62K1L7T3E5_S100001_07,1,8,适用于各种选装配置,,,text
零件_20180528,其他,20180528,1,9,汽车电气线束组件,,,text
零件_20211223,其他,20211223,2,5,汽车电气线束组件,,,text
零件_20211112,其他,20211112,3,5,汽车电气线束组件,,,text
零件_20211207,其他,20211207,4,2,汽车电气线束组件,,,text
零件_20211214,其他,20211214,10,2,汽车电气线束组件,,,text
